,place_id,location,dataset
110541,road_99,"{'type': 'LineString', 'coordinates': [[-9.144932, 38.732297], [-9.143693, 38.73293], [-9.143618, 38.732983], [-9.143573, 38.733053]]}",waze
114217,road_100,"{'type': 'LineString', 'coordinates': [[-9.1432, 38.719695], [-9.143424, 38.71955]]}",waze
118420,road_101,"{'type': 'LineString', 'coordinates': [[-9.142658, 38.726938], [-9.1434, 38.727754], [-9.144242, 38.728691]]}",waze
136277,road_102,"{'type': 'LineString', 'coordinates': [[-9.142011, 38.724141], [-9.141265, 38.724234], [-9.140593, 38.724289], [-9.140567, 38.724324], [-9.140072, 38.724401]]}",waze
142153,road_103,"{'type': 'LineString', 'coordinates': [[-9.159464, 38.719215], [-9.157712, 38.71892]]}",waze
8,ild_0,"[38.730637, -9.146837]",espiras
9,ild_1,"[38.727386, -9.148811]",espiras
10,ild_2,"[38.725, -9.152802]",espiras
11,ild_3,"[38.720562, -9.14585]",espiras
12,ild_4,"[38.720695, -9.145914]",espiras
13,ild_5,"[38.726166, -9.145614]",espiras
14,ild_6,"[38.721375, -9.15233]",espiras
15,ild_7,"[38.72576, -9.149235]",espiras
16,ild_8,"[38.72814, -9.148172]",espiras
17,ild_9,"[38.726475, -9.145099]",espiras
18,ild_10,"[38.730396, -9.145555]",espiras
19,ild_11,"[38.72731, -9.149015]",espiras
21,ild_12,"[38.73241, -9.145485]",espiras
61,ild_13,"[38.72475, -9.158735]",espiras
62,ild_14,"[38.727367, -9.148977]",espiras
64,ild_15,"[38.7247, -9.158457]",espiras
65,ild_16,"[38.727287, -9.1488]",espiras
